bucket,n_arcs,n_active_nodes,n_new_nodes,n_new_edge_events,density_local,cum_new_nodes,novelty_rate
155,9,10,3,8,0.9,62,0.8888888888888888
156,25,18,7,24,1.3888888888888888,69,0.96
157,9,11,5,7,0.8181818181818182,74,0.7777777777777778
158,17,18,7,13,0.9444444444444444,81,0.7647058823529411
159,16,17,2,13,0.9411764705882353,83,0.8125
160,12,16,4,8,0.75,87,0.6666666666666666
161,21,17,8,19,1.2352941176470589,95,0.9047619047619048
162,6,9,1,4,0.6666666666666666,96,0.6666666666666666
163,12,11,6,11,1.0909090909090908,102,0.9166666666666666
164,5,6,0,3,0.8333333333333334,102,0.6
165,4,5,2,4,0.8,104,1.0
166,1,2,0,0,0.5,104,0.0
167,0,0,0,0,0.0,104,
168,0,0,0,0,0.0,104,
169,0,0,0,0,0.0,104,
170,8,11,3,8,0.7272727272727273,107,1.0
171,2,3,0,2,0.6666666666666666,107,1.0
172,9,12,7,8,0.75,114,0.8888888888888888
173,9,12,3,9,0.75,117,1.0
174,9,11,3,9,0.8181818181818182,120,1.0
175,8,14,2,6,0.5714285714285714,122,0.75
176,4,8,4,3,0.5,126,0.75
177,6,7,2,3,0.8571428571428571,128,0.5
178,12,13,1,6,0.9230769230769231,129,0.5
179,11,13,2,8,0.8461538461538461,131,0.7272727272727273
180,8,11,1,5,0.7272727272727273,132,0.625
181,21,11,3,18,1.9090909090909092,135,0.8571428571428571
182,3,4,1,3,0.75,136,1.0
183,17,14,3,15,1.2142857142857142,139,0.8823529411764706
184,15,12,1,12,1.25,140,0.8
185,7,9,1,6,0.7777777777777778,141,0.8571428571428571
186,21,17,3,8,1.2352941176470589,144,0.38095238095238093
187,17,11,1,14,1.5454545454545454,145,0.8235294117647058
188,11,10,1,7,1.1,146,0.6363636363636364
189,0,0,0,0,0.0,146,
190,0,0,0,0,0.0,146,
191,0,0,0,0,0.0,146,
192,0,0,0,0,0.0,146,
193,0,0,0,0,0.0,146,
194,3,5,0,2,0.6,146,0.6666666666666666
195,6,8,1,2,0.75,147,0.3333333333333333
196,16,18,7,11,0.8888888888888888,154,0.6875
197,7,11,1,5,0.6363636363636364,155,0.7142857142857143
198,1,2,1,1,0.5,156,1.0
199,6,11,0,3,0.5454545454545454,156,0.5
200,6,8,2,2,0.75,158,0.3333333333333333
201,0,0,0,0,0.0,158,
202,10,9,1,3,1.1111111111111112,159,0.3
203,7,9,1,3,0.7777777777777778,160,0.42857142857142855
204,2,4,2,2,0.5,162,1.0
205,9,12,4,7,0.75,166,0.7777777777777778
206,20,24,7,15,0.8333333333333334,173,0.75
207,11,16,2,8,0.6875,175,0.7272727272727273
208,78,23,7,48,3.391304347826087,182,0.6153846153846154
209,78,12,2,25,6.5,184,0.32051282051282054
210,45,21,5,33,2.142857142857143,189,0.7333333333333333
211,32,15,4,27,2.1333333333333333,193,0.84375
212,4,7,2,4,0.5714285714285714,195,1.0
213,27,28,8,27,0.9642857142857143,203,1.0
214,4,6,2,4,0.6666666666666666,205,1.0
215,0,0,0,0,0.0,205,
216,0,0,0,0,0.0,205,
217,0,0,0,0,0.0,205,
218,0,0,0,0,0.0,205,
219,1,2,0,1,0.5,205,1.0
220,17,19,3,16,0.8947368421052632,208,0.9411764705882353
221,13,16,2,8,0.8125,210,0.6153846153846154
222,6,5,0,2,1.2,210,0.3333333333333333
223,8,11,3,8,0.7272727272727273,213,1.0
224,30,23,6,25,1.3043478260869565,219,0.8333333333333334
225,36,19,1,23,1.894736842105263,220,0.6388888888888888
226,15,13,3,8,1.1538461538461537,223,0.5333333333333333
227,25,21,3,21,1.1904761904761905,226,0.84
228,10,15,5,6,0.6666666666666666,231,0.6
229,17,18,1,11,0.9444444444444444,232,0.6470588235294118
230,8,11,3,8,0.7272727272727273,235,1.0
231,8,10,0,4,0.8,235,0.5
232,6,8,0,4,0.75,235,0.6666666666666666
233,13,18,2,6,0.7222222222222222,237,0.46153846153846156
234,60,20,0,56,3.0,237,0.9333333333333333
235,87,25,3,31,3.48,240,0.3563218390804598
236,25,16,0,7,1.5625,240,0.28
237,3,5,1,3,0.6,241,1.0
238,4,5,1,3,0.8,242,0.75
239,0,0,0,0,0.0,242,
240,0,0,0,0,0.0,242,
241,0,0,0,0,0.0,242,
242,0,0,0,0,0.0,242,
243,2,3,1,2,0.6666666666666666,243,1.0
244,3,6,0,2,0.5,243,0.6666666666666666
245,4,8,0,1,0.5,243,0.25
246,4,8,2,3,0.5,245,0.75
247,4,7,1,2,0.5714285714285714,246,0.5
248,10,14,0,6,0.7142857142857143,246,0.6
249,16,14,5,12,1.1428571428571428,251,0.75
250,6,11,0,0,0.5454545454545454,251,0.0
251,21,18,1,11,1.1666666666666667,252,0.5238095238095238
252,13,12,2,7,1.0833333333333333,254,0.5384615384615384
253,7,6,1,1,1.1666666666666667,255,0.14285714285714285
254,28,24,8,16,1.1666666666666667,263,0.5714285714285714
255,56,27,4,30,2.074074074074074,267,0.5357142857142857
256,32,29,3,14,1.103448275862069,270,0.4375
257,34,28,6,26,1.2142857142857142,276,0.7647058823529411
258,30,26,5,19,1.1538461538461537,281,0.6333333333333333
259,26,25,5,17,1.04,286,0.6538461538461539
260,8,9,0,8,0.8888888888888888,286,1.0
261,1,2,1,1,0.5,287,1.0
262,1,2,0,1,0.5,287,1.0
263,1,2,0,1,0.5,287,1.0
264,0,0,0,0,0.0,287,
265,1,2,1,1,0.5,288,1.0
266,1,2,0,0,0.5,288,0.0
267,13,18,2,11,0.7222222222222222,290,0.8461538461538461
268,6,11,3,6,0.5454545454545454,293,1.0
269,6,10,1,5,0.6,294,0.8333333333333334
270,5,9,0,2,0.5555555555555556,294,0.4
271,15,22,3,9,0.6818181818181818,297,0.6
272,8,11,1,2,0.7272727272727273,298,0.25
273,11,14,2,8,0.7857142857142857,300,0.7272727272727273
274,17,22,1,13,0.7727272727272727,301,0.7647058823529411
275,17,24,3,11,0.7083333333333334,304,0.6470588235294118
276,17,18,0,10,0.9444444444444444,304,0.5882352941176471
277,28,28,4,21,1.0,308,0.75
278,41,27,2,29,1.5185185185185186,310,0.7073170731707317
279,55,38,4,34,1.4473684210526316,314,0.6181818181818182
280,93,61,5,55,1.5245901639344261,319,0.5913978494623656
281,79,51,6,35,1.5490196078431373,325,0.4430379746835443
282,113,56,8,55,2.017857142857143,333,0.48672566371681414
283,128,41,4,59,3.1219512195121952,337,0.4609375
284,59,24,3,35,2.4583333333333335,340,0.5932203389830508
285,6,9,1,4,0.6666666666666666,341,0.6666666666666666
286,0,0,0,0,0.0,341,
287,0,0,0,0,0.0,341,
288,0,0,0,0,0.0,341,
289,4,6,1,3,0.6666666666666666,342,0.75
290,2,4,0,0,0.5,342,0.0
291,5,8,0,2,0.625,342,0.4
292,13,15,3,12,0.8666666666666667,345,0.9230769230769231
293,4,7,0,1,0.5714285714285714,345,0.25
294,8,11,1,5,0.7272727272727273,346,0.625
295,49,23,3,35,2.130434782608696,349,0.7142857142857143
296,54,17,0,40,3.176470588235294,349,0.7407407407407407
297,40,20,0,5,2.0,349,0.125
298,17,23,5,14,0.7391304347826086,354,0.8235294117647058
299,15,22,1,13,0.6818181818181818,355,0.8666666666666667
300,32,32,4,14,1.0,359,0.4375
301,16,17,1,4,0.9411764705882353,360,0.25
302,12,14,0,10,0.8571428571428571,360,0.8333333333333334
303,24,22,0,9,1.0909090909090908,360,0.375
304,82,45,4,33,1.8222222222222222,364,0.4024390243902439
305,100,45,3,58,2.2222222222222223,367,0.58
306,75,51,5,32,1.4705882352941178,372,0.4266666666666667
307,65,46,5,38,1.4130434782608696,377,0.5846153846153846
