N,time_s,n_motifs,n_instances
500,0.004065990447998047,57,929
1000,0.007974863052368164,59,1917
2000,0.033599138259887695,59,3872
3000,0.031803131103515625,59,5830
5000,0.060945987701416016,60,9771
