p_row,p15,p17,p19,p20
p1,0.0446102360995978,,,0.04820238862792054
p2,,0.06932097597881597,0.06426139587667865,
p3,,0.06659713945172825,0.05850218514104092,
p5,0.06830357142857142,,,
