,01,02,03,10,12,13,20,21,23,30,31,32
0102,0.088496,0.120354,0.375221,0.024779,,0.023009,0.040708,0.00177,0.047788,0.037168,0.088496,0.152212
0121,0.122744,,0.075812,0.072202,0.054152,0.032491,,0.115523,0.231047,0.068592,0.144404,0.083032
0101,0.45082,0.188525,,0.057377,0.053279,,0.045082,0.204918,,,,
0120,0.045455,0.0625,0.051136,0.125,,0.028409,0.153409,0.005682,0.284091,0.130682,0.034091,0.079545
0110,0.391026,0.038462,,0.108974,0.083333,,0.166667,0.211538,,,,
0112,0.147368,,0.063158,0.105263,0.084211,0.126316,,0.105263,0.052632,0.031579,0.126316,0.157895
